#OTU ID,OMA1,OMA11,OMA12,OMA13,OMA17,OMA18,OMA19,OMA2,OMA20,OMA21,OMA22,OMA26,OMA27,OMA28,OMA3,OMA4,OMA47,OMA48,WGA10,WGA12,WGA13,WGA15,WGA18,WGA19,WGA20,WGA23,WGA25,WGA26,WGA27,WGA29,WGA3,WGA32,WGA33,WGA34,WGA35,WGA39,WGA4,WGA40,WGA41,WGA42,WGA45,WGA46,WGA48,WGA5,WGA50,WGA53,WGA54,WGA55,WGA56,WGA7,,,,,,,,
Otu67,2,6,8,1,435,30,92,0,59,56,18,17,2,33,0,0,0,0,69,684,0,0,0,0,70,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,,,,,,,,
Otu87,547,55,4,4,1,2,3,176,35,7,6,25,13,12,98,144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu85,115,23,20,3,3,2,2,86,10,11,7,6,2,17,44,72,465,135,0,0,0,0,0,247,0,0,0,0,0,12,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu119,93,28,21,8,15,3,7,88,16,12,30,12,5,43,46,90,116,42,0,0,5,0,37,0,139,0,0,9,0,0,14,150,0,0,33,0,0,0,0,100,27,0,0,24,0,0,0,342,0,0,,,,,,,,
Otu99,29,3,4,2,10,7,11,13,1,13,17,2,1,14,2,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1363,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,
Otu410,27,31,30,0,16,3,7,40,2,0,3,4,18,10,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,0,0,0,0,,,,,,,,
Otu98,82,5,1,1,10,0,4,64,3,2,9,1,2,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,
Otu117,11,0,1,0,1,0,3,3,1,0,1,0,0,0,5,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu102,111,7,7,1,3,0,2,62,2,1,6,3,4,13,47,37,912,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Otu54,118,81,58,10,19,18,8,211,52,65,52,48,25,52,109,256,47,39,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,
