,Treat,Diatom,Temp,Bact,FSC,SSC,RED,GREEN,strain,strain_2
10327,NbO-A5-AX,NbO-A5,18,Axenic,3.257381,3.44224,3.578177,3.724232,NbO-A5,A1
10328,NbO-A5-AX,NbO-A5,18,Axenic,3.374783,3.811865,3.628419,3.850605,NbO-A5,A1
10329,NbO-A5-AX,NbO-A5,18,Axenic,3.418036,3.478205,3.620709,3.667681,NbO-A5,A1
10330,NbO-A5-AX,NbO-A5,18,Axenic,3.280423,3.505248,3.636781,3.650883,NbO-A5,A1
10331,NbO-A5-AX,NbO-A5,18,Axenic,3.242754,3.391471,3.541141,3.634151,NbO-A5,A1
10332,NbO-A5-AX,NbO-A5,18,Axenic,3.28289,3.493433,3.497243,3.796429,NbO-A5,A1
10333,NbO-A5-AX,NbO-A5,18,Axenic,3.263986,3.286954,3.229283,3.556606,NbO-A5,A1
10334,NbO-A5-AX,NbO-A5,18,Axenic,3.302213,3.531708,3.491016,3.613512,NbO-A5,A1
10335,NbO-A5-AX,NbO-A5,18,Axenic,3.326624,3.547181,3.532563,3.903522,NbO-A5,A1
10336,NbO-A5-AX,NbO-A5,18,Axenic,3.323587,3.483858,3.429951,3.76414,NbO-A5,A1
10337,NbO-A5-AX,NbO-A5,18,Axenic,3.254343,3.292027,3.553325,3.655365,NbO-A5,A1
10338,NbO-A5-AX,NbO-A5,18,Axenic,3.331138,3.415116,3.520395,3.485603,NbO-A5,A1
10339,NbO-A5-AX,NbO-A5,18,Axenic,3.364204,3.555813,3.512392,3.889107,NbO-A5,A1
10340,NbO-A5-AX,NbO-A5,18,Axenic,3.350289,3.566697,3.4152,3.650269,NbO-A5,A1
10341,NbO-A5-AX,NbO-A5,18,Axenic,3.349501,3.439001,3.740858,3.765154,NbO-A5,A1
10342,NbO-A5-AX,NbO-A5,18,Axenic,3.343104,3.488403,3.597291,3.632719,NbO-A5,A1
10343,NbO-A5-AX,NbO-A5,18,Axenic,3.207728,3.470731,3.509894,4.101205,NbO-A5,A1
10344,NbO-A5-AX,NbO-A5,18,Axenic,3.170865,3.522506,3.564977,3.853873,NbO-A5,A1
10345,NbO-A5-AX,NbO-A5,18,Axenic,3.216452,3.386221,3.613896,3.845097,NbO-A5,A1
10346,NbO-A5-AX,NbO-A5,18,Axenic,3.32787,3.4497,3.490691,3.70033,NbO-A5,A1
10347,NbO-A5-AX,NbO-A5,18,Axenic,3.289971,3.620164,3.591186,3.810306,NbO-A5,A1
10348,NbO-A5-AX,NbO-A5,18,Axenic,3.339417,3.72787,3.539672,3.626255,NbO-A5,A1
10349,NbO-A5-AX,NbO-A5,18,Axenic,3.3095,3.29894,3.509281,3.86059,NbO-A5,A1
10350,NbO-A5-AX,NbO-A5,18,Axenic,3.331915,3.46113,3.588843,3.661361,NbO-A5,A1
10351,NbO-A5-AX,NbO-A5,18,Axenic,3.311667,3.633106,3.570166,3.656511,NbO-A5,A1
10352,NbO-A5-AX,NbO-A5,18,Axenic,2.930882,3.458924,2.478032,4.110824,NbO-A5,A1
10353,NbO-A5-AX,NbO-A5,18,Axenic,3.335942,3.569496,3.630428,3.649375,NbO-A5,A1
10354,NbO-A5-AX,NbO-A5,18,Axenic,3.322303,3.425584,3.587653,3.868954,NbO-A5,A1
10355,NbO-A5-AX,NbO-A5,18,Axenic,3.357173,3.409763,3.610818,3.624351,NbO-A5,A1
10356,NbO-A5-AX,NbO-A5,18,Axenic,3.403343,3.265102,3.256347,3.707784,NbO-A5,A1
10357,NbO-A5-AX,NbO-A5,18,Axenic,3.329028,3.944442,3.622131,3.47663,NbO-A5,A1
10358,NbO-A5-AX,NbO-A5,18,Axenic,3.291513,3.246513,3.441786,3.692835,NbO-A5,A1
10359,NbO-A5-AX,NbO-A5,18,Axenic,3.34823,3.475699,3.468999,3.714403,NbO-A5,A1
10360,NbO-A5-AX,NbO-A5,18,Axenic,3.447456,3.335505,3.618213,3.620543,NbO-A5,A1
10361,NbO-A5-AX,NbO-A5,18,Axenic,3.41628,3.290126,3.536657,3.736294,NbO-A5,A1
10362,NbO-A5-AX,NbO-A5,18,Axenic,3.314749,3.327401,3.431083,3.794609,NbO-A5,A1
10363,NbO-A5-AX,NbO-A5,18,Axenic,3.472732,3.292823,3.515103,3.507634,NbO-A5,A1
10364,NbO-A5-AX,NbO-A5,18,Axenic,3.195472,3.252583,3.386705,3.658017,NbO-A5,A1
10365,NbO-A5-AX,NbO-A5,18,Axenic,3.337687,3.453521,3.600443,3.707568,NbO-A5,A1
10366,NbO-A5-AX,NbO-A5,18,Axenic,3.331711,3.486143,3.536576,3.544626,NbO-A5,A1
10367,NbO-A5-AX,NbO-A5,18,Axenic,3.279069,3.339461,3.497357,3.57668,NbO-A5,A1
10368,NbO-A5-AX,NbO-A5,18,Axenic,3.399772,3.736446,3.59333,3.604588,NbO-A5,A1
10369,NbO-A5-AX,NbO-A5,18,Axenic,3.222927,3.357786,3.427701,3.943809,NbO-A5,A1
10370,NbO-A5-AX,NbO-A5,18,Axenic,3.310708,3.328502,3.293426,4.389985,NbO-A5,A1
10371,NbO-A5-AX,NbO-A5,18,Axenic,3.094791,3.184291,3.278103,3.695856,NbO-A5,A1
10372,NbO-A5-AX,NbO-A5,18,Axenic,3.337971,3.311235,3.531967,3.600804,NbO-A5,A1
