#OTU ID	info	Treatment	Treatment2	Treatment3	Pop	Pop2	Pop3	extract	temp	col	col2	pch	culture	clonal	clonal2	definition	keep_2026	diatom_control	exp	temp_shift	used_inisolate	TR_Con	TR_Growth	Fm	FmDEC	FmD	Treatment_Multi	order
WGA15	WGA-RA5-B_Blank	RA5_Blank	RA5_Blank	RA5_Blank	March	Bact_CG1	Bact_PopA	WGA	18	steelblue4	steelblue4	24	Single	monoclonal	control	bacterioplankton	yes	control			y						RA5_Blank_WGA	77
WGA18	WGA_RD4-A	RD4	RD4	RD4_WGA	March	CG1	PopA	WGA	18	navy	navy	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RD4_WGA	34
WGA19	WGA_RD4-A	RD4	RD4	RD4_WGA	March	CG1	PopA	WGA	18	navy	navy	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RD4_WGA	35
WGA20	WGA_RD4-A	RD4	RD4	RD4_WGA	March	CG1	PopA	WGA	18	navy	navy	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RD4_WGA	36
WGA23	WGA_RD4-A_BLANK	RD4_Blank	RD4_Blank	RD4_Blank	RD4_Blank	Bact_CG1	Bact_PopA	WGA	18	navy	navy	24	Single	monoclonal	control	bacterioplankton	yes	control			v						RD4_Blank_WGA	79
WGA25	WGA_RD4-B	RD4	RD4	RD4_WGA	March	CG1	PopA	WGA	18	navy	navy	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RD4_WGA	37
WGA26	WGA_RD4-B	RD4	RD4	RD4_WGA	March	CG1	PopA	WGA	18	navy	navy	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RD4_WGA	38
WGA27	WGA_RD4-B	RD4	RD4	RD4_WGA	March	CG1	PopA	WGA	18	navy	navy	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						RD4_WGA	39
WGA29	WGA_RD4-B_BLANK	RD4_Blank	RD4_Blank	RD4_Blank	RD4_Blank	Bact_CG1	Bact_PopA	WGA	18	navy	navy	24	Single	monoclonal	control	bacterioplankton	yes	control			y						RD4_Blank_WGA	78
WGA32	WGA_NB7-A	NB7	NB7	NB7_WGA	November	CG3	PopC	WGA	18	forestgreen	forestgreen	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						NB7_WGA	10
WGA33	WGA_NB7-A	NB7	NB7	NB7_WGA	November	CG3	PopC	WGA	18	forestgreen	forestgreen	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						NB7_WGA	11
WGA34	WGA_NB7-A	NB7	NB7	NB7_WGA	November	CG3	PopC	WGA	18	forestgreen	forestgreen	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						NB7_WGA	12
WGA35	WGA_NB7-A_BLANK	NB7_Blank	NB7_Blank	NB7_Blank	NB7_Blank	Bact_CG3	Bact_PopC	WGA	18	forestgreen	forestgreen	24	Single	monoclonal	control	bacterioplankton	yes	control			y						NB7_Blank_WGA	80
WGA39	WGA_NB7-B	NB7	NB7	NB7_WGA	November	CG3	PopC	WGA	18	forestgreen	forestgreen	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						NB7_WGA	13
WGA40	WGA_NB7-B	NB7	NB7	NB7_WGA	November	CG3	PopC	WGA	18	forestgreen	forestgreen	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						NB7_WGA	14
WGA41	WGA_NB7-B	NB7	NB7	NB7_WGA	November	CG3	PopC	WGA	18	forestgreen	forestgreen	23	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						NB7_WGA	15
WGA42	WGA_NB7-B_BLANK	NB7_Blank	NB7_Blank	NB7_Blank	NB7_Blank	Bact_CG3	Bact_PopC	WGA	18	forestgreen	forestgreen	24	Single	monoclonal	control	bacterioplankton	yes	control			y						NB7_Blank_WGA	81
WGA45	WGA_YE5-A	YE5	YE5	YE5_WGA	May	CG2	PopB	WGA	18	firebrick	firebrick	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						YE5_WGA	49
WGA46	WGA_YE5-A	YE5	YE5	YE5_WGA	May	CG2	PopB	WGA	18	firebrick	firebrick	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						YE5_WGA	50
WGA48	WGA_YE5-A	YE5	YE5	YE5_WGA	May	CG2	PopB	WGA	18	firebrick	firebrick	22	Single	monoclonal	monoclonal	microbiome	yes	diatom			y						YE5_WGA	51
